64
19
                                 _________                      
                          _.--""'-----,   `"--.._               
                       .-''   _/_      ; .'"----,`-,            
                     .'      :___:     ; :      ;;`.`.          
                    .      _.- _.-    .' :      ::  `..         
                 __;..----------------' :: ___  ::   ;;         
            .--"". '           ___.....`:=(___)-' :--'`.        
          .'   .'         .--''__       :       ==:    ;        
      .--/    /        .'.''     ``-,   :         :   '`-.      
   ."', :    /       .'-`\\       .--.\ :         :  ,   _\     
  ;   ; |   ;       /:'  ;;      /__  \\:         :  :  /_\\    
  |\_/  |   |      / \__//      /"--\\ \:         :  : ;|`\|    
  : "  /\__/\____//   """      /     \\ :         :  : :|'||    
["""""""""--------........._  /      || ;      __.:--' :|//|    
 "------....______         ].'|      // |--"""'__...-'`\ \//    
   `| WVE230L |__;_...--'": :  \    //  |---"""      \__\_/     
     """""""""'            \ \  \_.//  /                        
       `---'                \ \_     _'                         
                             `--`---'                           
0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 1_31 1_31 1_31 1_31 1_31 1_31 1_31 1_31 1_31 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37
0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 1_31 1_31 1_31 1_31 1_31 1_31 1_31 0_33 0_33 0_33 0_33 0_33 0_33 0_37 0_37 0_37 1_31 1_31 1_31 1_31 1_31 1_31 1_31 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37
0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 1_31 1_31 1_31 1_31 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_33 0_37 0_33 0_33 0_33 0_33 0_33 0_33 0_33 1_31 1_31 1_31 1_31 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37
0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 1_31 1_31 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_33 0_37 0_33 0_37 0_37 0_37 0_37 0_37 0_37 0_33 0_33 0_33 0_33 1_31 1_31 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37
0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 1_31 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_33 0_33 0_37 0_33 0_37 0_37 0_37 0_37 0_37 0_37 0_33 0_33 0_37 0_37 0_33 1_31 1_31 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37
0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 1_31 1_31 1_31 0_33 0_33 0_33 0_33 0_33 0_33 0_33 0_33 1_33 0_33 0_33 0_33 0_33 0_33 0_33 0_33 0_33 0_33 0_33 0_37 0_33 0_33 0_37 1_31 1_31 1_31 0_37 0_37 0_33 0_33 0_37 0_37 0_37 0_33 1_31 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37
0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 1_31 1_31 1_31 1_31 1_31 1_31 0_37 1_31 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 1_31 1_31 1_31 1_31 1_31 1_31 1_31 1_31 1_31 1_31 1_31 1_31 1_31 1_31 1_31 1_31 1_31 1_31 1_31 1_31 1_31 1_31 1_31 1_31 1_31 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37
0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 1_31 1_31 0_37 0_37 0_37 1_31 1_31 1_31 0_37 0_37 0_37 0_37 0_37 0_37 0_37 1_31 1_31 1_31 1_31 1_31 1_31 1_31 1_31 0_37 0_37 0_37 0_37 0_37 0_37 0_37 1_31 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 1_31 0_37 0_37 0_37 0_37 1_31 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37
0_37 0_37 0_37 0_37 0_37 0_37 1_31 1_31 1_31 1_31 0_37 0_37 0_37 0_37 1_31 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 1_31 1_31 1_31 1_31 1_31 0_37 0_37 0_37 0_37 0_37 1_31 1_31 1_31 1_31 0_37 0_37 0_37 1_31 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 1_31 0_37 0_37 0_37 1_31 1_31 1_31 1_31 0_37 0_37 0_37 0_37 0_37 0_37
0_37 0_37 0_37 1_37 1_37 1_37 1_37 0_37 1_31 0_37 0_37 0_37 0_37 1_31 0_37 0_37 0_37 0_37 0_37 0_37 0_37 1_31 1_37 1_37 1_37 1_37 1_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_31 0_31 0_31 0_31 1_31 0_37 1_31 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 0_37 1_31 0_37 0_37 1_31 1_31 0_37 1_31 1_31 1_31 0_37 0_37 0_37 0_37 0_37
